epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,33378.2,1.58809,2.00227,1.86239,0.70226,0.53775,0.61448,0.38536,1.44182,1.49266,1.86607,0.000321875,0.000321875,0.000321875
152,33599,1.61247,1.97152,1.89917,0.62053,0.60417,0.59762,0.37663,1.43471,1.49162,1.85747,0.000315687,0.000315687,0.000315687
153,33819.7,1.5989,2.00178,1.89425,0.62546,0.62167,0.64442,0.39242,1.45058,1.46799,1.85376,0.0003095,0.0003095,0.0003095
154,34040,1.58458,2.00292,1.87211,0.65728,0.59056,0.63102,0.39759,1.41195,1.45056,1.86126,0.000303313,0.000303313,0.000303313
155,34261.6,1.59047,2.01397,1.85195,0.79996,0.56823,0.65541,0.40697,1.40938,1.41365,1.83812,0.000297125,0.000297125,0.000297125
156,34482.4,1.56035,1.98561,1.84241,0.75339,0.64466,0.66861,0.41547,1.38667,1.43113,1.82346,0.000290937,0.000290937,0.000290937
157,34702.9,1.53492,1.90433,1.82361,0.79961,0.55611,0.66671,0.4107,1.40787,1.42338,1.84552,0.00028475,0.00028475,0.00028475
158,34922.3,1.52692,1.86445,1.79735,0.67873,0.65292,0.67629,0.41194,1.42142,1.41822,1.83375,0.000278562,0.000278562,0.000278562
159,35142,1.57268,1.92982,1.85726,0.83065,0.56518,0.67207,0.41099,1.42432,1.40965,1.87958,0.000272375,0.000272375,0.000272375
160,35362.3,1.48656,1.9026,1.79648,0.73062,0.63222,0.678,0.42307,1.37379,1.4518,1.8264,0.000266187,0.000266187,0.000266187
161,35584.2,1.57613,1.95796,1.84381,0.75553,0.53263,0.63927,0.40847,1.3691,1.42089,1.80118,0.00026,0.00026,0.00026
162,35805,1.53227,1.86824,1.82469,0.67727,0.62023,0.66295,0.41668,1.34409,1.4368,1.77606,0.000253812,0.000253812,0.000253812
163,36025.4,1.5191,1.91345,1.79252,0.71734,0.61139,0.66962,0.41498,1.36993,1.43315,1.84243,0.000247625,0.000247625,0.000247625
164,36246.8,1.5405,1.80895,1.81725,0.81118,0.59401,0.67601,0.42038,1.38122,1.39683,1.81709,0.000241438,0.000241438,0.000241438
165,36468.2,1.51512,1.90533,1.83102,0.82983,0.6213,0.69188,0.42752,1.41168,1.36078,1.85024,0.00023525,0.00023525,0.00023525
166,36689.8,1.49532,1.79908,1.80846,0.75058,0.62903,0.69001,0.4265,1.40724,1.33979,1.83582,0.000229063,0.000229063,0.000229063
167,36910.9,1.55336,1.87754,1.84423,0.75783,0.66988,0.6905,0.42526,1.41609,1.35931,1.84543,0.000222875,0.000222875,0.000222875
168,37131.5,1.5631,1.89321,1.85875,0.71847,0.62285,0.66026,0.42031,1.38615,1.3413,1.81775,0.000216688,0.000216688,0.000216688
169,37353.3,1.54131,1.87601,1.83978,0.81845,0.59112,0.698,0.43661,1.36972,1.36697,1.82346,0.0002105,0.0002105,0.0002105
170,37572.9,1.52556,1.8618,1.81615,0.8508,0.60182,0.70451,0.44168,1.38011,1.32761,1.7973,0.000204313,0.000204313,0.000204313
171,37794.4,1.46942,1.82889,1.78182,0.7994,0.60253,0.69207,0.44569,1.36178,1.33821,1.80729,0.000198125,0.000198125,0.000198125
172,38016.1,1.47516,1.84386,1.79915,0.73719,0.66667,0.69948,0.43869,1.32444,1.30932,1.76342,0.000191938,0.000191938,0.000191938
173,38237.2,1.4781,1.73211,1.77967,0.73793,0.64986,0.69237,0.43542,1.34367,1.30876,1.79128,0.00018575,0.00018575,0.00018575
174,38458.5,1.48058,1.83289,1.76998,0.75743,0.62861,0.71337,0.44666,1.33775,1.30042,1.77703,0.000179563,0.000179563,0.000179563
175,38679.9,1.4837,1.80177,1.78173,0.72649,0.64236,0.715,0.45869,1.2985,1.29803,1.75674,0.000173375,0.000173375,0.000173375
176,38900.5,1.46206,1.82385,1.7775,0.74466,0.65972,0.70686,0.45626,1.31849,1.29728,1.77545,0.000167188,0.000167188,0.000167188
177,39121.9,1.45669,1.71907,1.77515,0.73775,0.65768,0.70163,0.44776,1.32941,1.30671,1.80094,0.000161,0.000161,0.000161
178,39342.1,1.45333,1.72725,1.7698,0.82657,0.66,0.71575,0.46602,1.37077,1.28359,1.83664,0.000154812,0.000154812,0.000154812
